"Rank","Team name","Total score","Det","Asst","G","T","F","Latency","Submissions","Last submission"
"24","Vectara","0.501219","0.785714","0.68","0.662626","1","1.0032","2267","1","2026-03-12T20:14:17.547954"
"25","AlphaCorp AI","0.491019","0.757143","0.666667","0.653585","0.982","1.048","196","8","2026-03-12T03:16:03.177849"
"26","Research Independent","0.490476","0.757143","0.68","0.685077","1","0.9754","2859","6","2026-03-12T18:23:41.671894"
"27","Tema Snow","0.486388","0.914286","0.726667","0.56042","0.996","1.0156","1446","4","2026-03-12T16:15:48.654887"
"28","Proxima","0.462701","0.742857","0.74","0.725373","0.987","0.871","8999","3","2026-03-12T22:29:43.677573"
"29","Sparks of intelligence","0.412164","0.9","0.686667","0.506227","0.955","1.0198","1416","1","2026-03-12T14:00:51.527572"
"30","C-Tech","0.374796","0.835714","0.606667","0.475111","1","1.0285","1293","2","2026-03-12T16:09:08.904162"
"31","Eskender Dzhemadinov","0.36012","0.907143","0.646667","0.492799","1","0.8815","13607","10","2026-03-12T07:30:09.410870"
"32","dragon","0.342494","0.828571","0.536667","0.4727","0.994","0.9837","880","1","2026-03-12T15:30:28.774980"
"33","LightJazz","0.332336","0.671429","0.626667","0.504632","0.972","1.0297","1322","7","2026-03-12T23:22:27.914494"
"34","rcnegby","0.331701","0.783333","0.546667","0.444623","1","1.0473","713","1","2026-03-12T18:53:17.035062"
"35","kchasatch","0.321669","0.77619","0.513333","0.441337","1","1.0452","703","1","2026-03-12T20:24:38.949378"
"36","vshakhlin","0.314375","0.814286","0.64","0.444623","1","0.9279","4903","1","2026-03-11T19:11:27.226480"
"37","Integral-M","0.313455","0.778571","0.6","0.414686","1","1.0426","768","2","2026-03-12T08:47:13.544873"
"38","Chevrolet Tahoe","0.308934","0.764286","0.62","0.409714","1","1.0458","716","1","2026-03-11T14:54:23.414855"
"39","Spacelight","0.289204","0.742857","0.606667","0.395101","1","1.0427","1462","1","2026-03-12T09:35:31.051734"
"40","Random Auto Generator","0.247448","0.539286","0.613333","0.438647","0.965","1.0411","977","1","2026-03-12T12:51:18.420638"
"41","ml users","0.238298","0.485714","0.326667","0.526853","0.988","1.0452","317","4","2026-03-12T18:22:59.771722"
"42","AKT","0.234918","0.792857","0.706667","0.360331","1","0.85","0","1","2026-03-13T03:04:53.954172"
"43","Gregor Mendel","0.199277","0.557143","0.706667","0.336952","0.983","0.9994","2169","1","2026-03-12T19:39:20.915337"
"44","SciWalkers","0.166524","0.642857","0.513333","0.309","0.973","0.917","5765","1","2026-03-12T15:59:49.222134"
"45","ivan_team","0.03607","0.828571","0.626667","0.05","0.9","1.0437","879","1","2026-03-11T13:07:29.971293"
"46","AIE's","0.028391","0.614286","0.62","0.05","0.9","1.0242","1471","2","2026-03-12T10:50:01.046785"
"47","Suverenum","0.027921","0.1","0.4","0.172885","1","0.85","18154","1","2026-03-13T03:09:44.725201"
"48","Maksim Metelskii","0.026996","0.442857","0.486667","0.056382","1","1.05","43","1","2026-03-11T20:24:15.687539"
"49","Engineers","0.026416","0.004762","0.273333","0.294816","1","1.05","270","1","2026-03-12T06:47:17.058354"
"50","MorkovKa","0.008978","0","0.633333","0.05","0.9","1.05","703","3","2026-03-12T20:26:08.323772"
"51","Lda_proj","0.00897","0","0.633333","0.05","0.901","1.048","573","1","2026-03-12T20:40:34.680131"
"52","2A1W","0","0","0","0","0","0","0","0",""
"53","360 Tech","0","0","0","0","0","0","0","0",""
"54","812jp2","0","0","0","0","0","0","0","0",""
"55","A3","0","0","0","0","0","0","0","0",""
"56","Agentic Semaphorce","0","0","0","0","0","0","0","0",""
"57","Agentic stack system","0","0","0","0","0","0","0","0",""
"58","AiRina","0","0","0","0","0","0","0","0",""
"59","AIVSTUDIOS","0","0","0","0","0","0","0","0",""
"60","Alexei K","0","0","0","0","0","0","0","0",""
